# PIMCID: 234567891
#   elem          X           Y        AREA           W
     433     84.278      151.86      104.27     0.47996    
     434     68.453      156.63      111.10     0.49611    
     435     60.304      162.85      105.20     0.47994    
     436     43.530      165.28      110.05     0.49609    
     437     34.944      170.09      106.25     0.47992    
     438     17.575      169.99      108.87     0.49605    
     439     8.7824      173.40      107.44     0.47988    
     440     8.7726     -181.58      107.25     0.43070    
     441     17.555     -178.21      108.56     0.44724    
     442     34.922     -178.43      106.18     0.43074    
     443     43.518     -173.72      109.62     0.44727    
     444     60.342     -171.53      105.20     0.43077    
     445     68.543     -165.47      110.60     0.44729    
     446     84.500     -161.02      104.35     0.43078    
     447     92.087     -153.63      111.44     0.44730    
     448     106.89     -147.13      103.59     0.43078    
     449     113.64     -138.47      112.18     0.44729    
     450     127.03     -130.15      102.95     0.43077    
     451     132.74     -120.30      112.80     0.44729    
     452     144.51     -110.43      102.41     0.43077    
     453     148.96     -99.529      113.30     0.44728    
     454     158.96     -88.396      101.98     0.43076    
     455     161.96     -76.598      113.70     0.44728    
     456     170.07     -64.502      101.64     0.43076    
     457     171.45     -52.007      113.97     0.44727    
     458     177.61     -39.251      101.42     0.43075    
     459     177.22     -26.288      114.15     0.44727    
     460     181.42     -13.176      101.33     0.43075    
     461     179.16      0.0000      114.20     0.44727    
     462     181.42      13.176      101.33     0.43076    
     463     177.22      26.288      114.15     0.44727    
     464     177.61      39.251      101.42     0.43076    
     465     171.45      52.007      113.97     0.44728    
     466     170.07      64.502      101.64     0.43076    
     467     161.96      76.598      113.70     0.44728    
     468     158.96      88.396      101.98     0.43076    
     469     148.96      99.529      113.30     0.44728    
     470     144.51      110.43      102.41     0.43077    
     471     132.74      120.30      112.80     0.44729    
     472     127.03      130.15      102.95     0.43077    
     473     113.64      138.47      112.18     0.44729    
     474     106.89      147.13      103.59     0.43077    
     475     92.087      153.63      111.44     0.44728    
     476     84.500      161.02      104.35     0.43076    
     477     68.543      165.47      110.60     0.44727    
     478     60.342      171.53      105.20     0.43075    
     479     43.518      173.72      109.62     0.44725    
     480     34.922      178.43      106.18     0.43072    
     481     17.555      178.21      108.56     0.44722    
     482     8.7726      181.58      107.25     0.43068    
     483     8.7634     -189.76      107.08     0.38054    
     484     17.536     -186.42      108.27     0.39738    
     485     34.900     -186.74      106.09     0.38058    
     486     43.503     -182.13      109.26     0.39741    
     487     60.370     -180.15      105.21     0.38060    
     488     68.614     -174.25      110.13     0.39743    
     489     84.687     -170.09      104.40     0.38062    
     490     92.373     -162.92      110.91     0.39744    
     491     107.38     -156.77      103.69     0.38062    
     492     114.31     -148.37      111.60     0.39744    
     493     128.02     -140.44      103.08     0.38062    
     494     133.99     -130.88      112.19     0.39743    
     495     146.20     -121.41      102.57     0.38061    
     496     151.02     -110.81      112.69     0.39743    
     497     161.58     -100.05      102.15     0.38060    
     498     165.07     -88.542      113.08     0.39742    
     499     173.86     -76.768      101.82     0.38060    
     500     175.86     -64.526      113.37     0.39742    
     501     182.80     -52.013      101.59     0.38060    
     502     183.17     -39.233      113.57     0.39742    
     503     188.23     -26.259      101.45     0.38059    
     504     186.86     -13.165      113.67     0.39742    
     505     190.06      0.0000      101.40     0.38060    
     506     186.86      13.165      113.67     0.39742    
     507     188.23      26.259      101.45     0.38060    
     508     183.17      39.233      113.57     0.39742    
     509     182.80      52.013      101.59     0.38060    
     510     175.86      64.526      113.37     0.39742    
     511     173.86      76.768      101.82     0.38060    
     512     165.07      88.542      113.08     0.39742    
     513     161.58      100.05      102.15     0.38060    
     514     151.02      110.81      112.69     0.39743    
     515     146.20      121.41      102.57     0.38061    
     516     133.99      130.88      112.19     0.39743    
     517     128.02      140.44      103.08     0.38061    
     518     114.31      148.37      111.60     0.39743    
     519     107.38      156.77      103.69     0.38061    
     520     92.373      162.92      110.91     0.39743    
     521     84.687      170.09      104.40     0.38060    
     522     68.614      174.25      110.13     0.39741    
     523     60.370      180.15      105.21     0.38059    
     524     43.503      182.13      109.26     0.39739    
     525     34.900      186.74      106.09     0.38056    
     526     17.536      186.42      108.27     0.39736    
     527     8.7634      189.76      107.08     0.38052    
     528     8.7546     -197.93      106.92     0.32958    
     529     17.518     -194.61      108.00     0.34666    
     530     34.877     -195.04      106.00     0.32962    
     531     43.486     -190.52      108.91     0.34670    
     532     60.390     -188.72      105.19     0.32964    
     533     68.671     -182.97      109.72     0.34672    
     534     84.843     -179.08      104.44     0.32965    
     535     92.615     -172.10      110.46     0.34673    
     536     107.81     -166.29      103.79     0.32966    
     537     114.89     -158.12      111.10     0.34673    
     538     128.87     -150.56      103.21     0.32966    
     539     135.08     -141.28      111.65     0.34672    
     540     147.67     -132.18      102.71     0.32965    
     541     152.82     -121.87      112.12     0.34672    
     542     163.88     -111.48      102.30     0.32965    
     543     167.81     -100.26      112.51     0.34671    
     544     177.19     -88.812      101.97     0.32964    
     545     179.75     -76.828      112.81     0.34671    
     546     187.39     -64.579      101.74     0.32964    
     547     188.44     -52.005      113.04     0.34670    
     548     194.30     -39.208      101.57     0.32963    
     549     193.72     -26.240      113.15     0.34670    
     550     197.78     -13.147      101.48     0.32964    
     551     195.49      0.0000      113.21     0.34670    
     552     197.78      13.147      101.48     0.32964    
     553     193.72      26.240      113.15     0.34671    
     554     194.30      39.208      101.57     0.32964    
     555     188.44      52.005      113.04     0.34671    
     556     187.39      64.579      101.74     0.32964    
     557     179.75      76.828      112.81     0.34671    
     558     177.19      88.812      101.97     0.32964    
     559     167.81      100.26      112.51     0.34671    
     560     163.88      111.48      102.30     0.32965    
     561     152.82      121.87      112.12     0.34672    
     562     147.67      132.18      102.71     0.32965    
     563     135.08      141.28      111.65     0.34672    
     564     128.87      150.56      103.21     0.32965    
     565     114.89      158.12      111.10     0.34672    
     566     107.81      166.29      103.79     0.32965    
     567     92.615      172.10      110.46     0.34671    
     568     84.843      179.08      104.44     0.32964    
     569     68.671      182.97      109.72     0.34670    
     570     60.390      188.72      105.19     0.32962    
     571     43.486      190.52      108.91     0.34668    
     572     34.877      195.04      106.00     0.32960    
     573     17.518      194.61      108.00     0.34664    
     574     8.7546      197.93      106.92     0.32956    
     575     8.7463     -206.09      106.77     0.27798    
     576     17.501     -202.80      107.78     0.29526    
     577     34.856     -203.32      105.94     0.27803    
     578     43.469     -198.88      108.60     0.29530    
     579     60.403     -197.26      105.17     0.27805    
     580     68.716     -191.64      109.36     0.29532    
     581     84.976     -188.00      104.48     0.27806    
     582     92.822     -181.20      110.04     0.29533    
     583     108.17     -175.69      103.87     0.27807    
     584     115.38     -167.75      110.65     0.29533    
     585     129.62     -160.54      103.33     0.27806    
     586     136.03     -151.51      111.18     0.29533    
     587     148.97     -142.78      102.86     0.27806    
     588     154.41     -132.74      111.63     0.29532    
     589     165.90     -122.71      102.46     0.27806    
     590     170.22     -111.76      112.00     0.29532    
     591     180.15     -100.64      102.13     0.27805    
     592     183.19     -88.916      112.30     0.29531    
     593     191.48     -76.944      101.87     0.27805    
     594     193.12     -64.591      112.53     0.29531    
     595     199.70     -52.000      101.69     0.27805    
     596     199.83     -39.190      112.69     0.29531    
     597     204.69     -26.213      101.59     0.27805    
     598     203.22     -13.136      112.76     0.29531    
     599     206.36      0.0000      101.55     0.27805    
     600     203.22      13.136      112.76     0.29531    
     601     204.69      26.213      101.59     0.27805    
     602     199.83      39.190      112.69     0.29531    
     603     199.70      52.000      101.69     0.27805    
     604     193.12      64.591      112.53     0.29531    
     605     191.48      76.944      101.87     0.27805    
     606     183.19      88.916      112.30     0.29531    
     607     180.15      100.64      102.13     0.27806    
     608     170.22      111.76      112.00     0.29532    
     609     165.90      122.71      102.46     0.27806    
     610     154.41      132.74      111.63     0.29532    
     611     148.97      142.78      102.86     0.27806    
     612     136.03      151.51      111.18     0.29532    
     613     129.62      160.54      103.33     0.27806    
     614     115.38      167.75      110.65     0.29532    
     615     108.17      175.69      103.87     0.27806    
     616     92.822      181.20      110.04     0.29531    
     617     84.976      188.00      104.48     0.27805    
     618     68.716      191.64      109.36     0.29530    
     619     60.403      197.26      105.17     0.27804    
     620     43.469      198.88      108.60     0.29528    
     621     34.856      203.32      105.94     0.27801    
     622     17.501      202.80      107.78     0.29525    
     623     8.7463      206.09      106.77     0.27797    
     624     8.7384     -214.25      106.63     0.22595    
     625     17.485     -210.99      107.56     0.24335    
     626     34.834     -211.59      105.86     0.22599    
     627     43.450     -207.22      108.32     0.24339    
     628     60.411     -205.77      105.15     0.22601    
     629     68.751     -200.26      109.03     0.24341    
     630     85.087     -196.86      104.51     0.22602    
     631     92.999     -190.23      109.67     0.24341    
     632     108.49     -185.01      103.94     0.22603    
     633     115.82     -177.27      110.23     0.24342    
     634     130.27     -170.38      103.42     0.22603    
     635     136.86     -161.59      110.72     0.24341    
     636     150.11     -153.21      102.97     0.22602    
     637     155.80     -143.43      111.16     0.24341    
     638     167.70     -133.74      102.58     0.22602    
     639     172.35     -123.06      111.53     0.24341    
     640     182.78     -112.27      102.27     0.22602    
     641     186.26     -100.80      111.84     0.24340    
